Start,End,Event Name,Waypoint Link
07:00,07:15,Tequatl the Sunless,[&BNABAAA=]
11:30,11:45,Tequatl the Sunless,[&BNABAAA=]
16:00,16:15,Tequatl the Sunless,[&BNABAAA=]
19:00,19:15,Tequatl the Sunless,[&BNABAAA=]
00:00,00:15,Tequatl the Sunless,[&BNABAAA=]
03:00,03:15,Tequatl the Sunless,[&BNABAAA=]
08:00,08:15,Triple Wurm,[&BKoBAAA=]
12:30,12:45,Triple Wurm,[&BKoBAAA=]
17:00,17:15,Triple Wurm,[&BKoBAAA=]
20:00,20:15,Triple Wurm,[&BKoBAAA=]
01:00,01:15,Triple Wurm,[&BKoBAAA=]
04:00,04:15,Triple Wurm,[&BKoBAAA=]
10:30,10:45,Karka Queen,[&BNcGAAA=]
15:00,15:15,Karka Queen,[&BNcGAAA=]
18:00,18:15,Karka Queen,[&BNcGAAA=]
23:00,23:15,Karka Queen,[&BNcGAAA=]
02:00,02:15,Karka Queen,[&BNcGAAA=]
06:00,06:15,Karka Queen,[&BNcGAAA=]
07:00,07:15,The Shatterer,[&BE4DAAA=]
10:00,10:15,The Shatterer,[&BE4DAAA=]
13:00,13:15,The Shatterer,[&BE4DAAA=]
16:00,16:15,The Shatterer,[&BE4DAAA=]
19:00,19:15,The Shatterer,[&BE4DAAA=]
22:00,22:15,The Shatterer,[&BE4DAAA=]
01:00,01:15,The Shatterer,[&BE4DAAA=]
04:00,04:15,The Shatterer,[&BE4DAAA=]
07:30,07:45,Modniir Ulgoth,[&BLEAAAA=]
10:30,10:45,Modniir Ulgoth,[&BLEAAAA=]
13:30,13:45,Modniir Ulgoth,[&BLEAAAA=]
16:30,16:45,Modniir Ulgoth,[&BLEAAAA=]
19:30,19:45,Modniir Ulgoth,[&BLEAAAA=]
22:30,22:45,Modniir Ulgoth,[&BLEAAAA=]
01:30,01:45,Modniir Ulgoth,[&BLEAAAA=]
04:30,04:45,Modniir Ulgoth,[&BLEAAAA=]
08:00,08:15,Golem Mark II,[&BNQCAAA=]
11:00,11:15,Golem Mark II,[&BNQCAAA=]
14:00,14:15,Golem Mark II,[&BNQCAAA=]
17:00,17:15,Golem Mark II,[&BNQCAAA=]
20:00,20:15,Golem Mark II,[&BNQCAAA=]
23:00,23:15,Golem Mark II,[&BNQCAAA=]
02:00,02:15,Golem Mark II,[&BNQCAAA=]
05:00,05:15,Golem Mark II,[&BNQCAAA=]
08:30,08:45,Claw of Jormag,[&BHoCAAA=]
11:30,11:45,Claw of Jormag,[&BHoCAAA=]
14:30,14:45,Claw of Jormag,[&BHoCAAA=]
17:30,17:45,Claw of Jormag,[&BHoCAAA=]
20:30,20:45,Claw of Jormag,[&BHoCAAA=]
23:30,23:45,Claw of Jormag,[&BHoCAAA=]
02:30,02:45,Claw of Jormag,[&BHoCAAA=]
05:30,05:45,Claw of Jormag,[&BHoCAAA=]
09:00,09:15,Taidha Covington,[&BKgBAAA=]
12:00,12:15,Taidha Covington,[&BKgBAAA=]
15:00,15:15,Taidha Covington,[&BKgBAAA=]
18:00,18:15,Taidha Covington,[&BKgBAAA=]
21:00,21:15,Taidha Covington,[&BKgBAAA=]
00:00,00:15,Taidha Covington,[&BKgBAAA=]
03:00,03:15,Taidha Covington,[&BKgBAAA=]
06:00,06:15,Taidha Covington,[&BKgBAAA=]
09:30,09:45,Megadestroyer,[&BM0CAAA=]
12:30,12:45,Megadestroyer,[&BM0CAAA=]
15:30,15:45,Megadestroyer,[&BM0CAAA=]
18:30,18:45,Megadestroyer,[&BM0CAAA=]
21:30,21:45,Megadestroyer,[&BM0CAAA=]
00:30,00:45,Megadestroyer,[&BM0CAAA=]
03:30,03:45,Megadestroyer,[&BM0CAAA=]
06:30,06:45,Megadestroyer,[&BM0CAAA=]
07:15,07:30,Jungle Wurm,[&BEEFAAA=]
09:15,09:30,Jungle Wurm,[&BEEFAAA=]
11:15,11:30,Jungle Wurm,[&BEEFAAA=]
13:15,13:30,Jungle Wurm,[&BEEFAAA=]
15:15,15:30,Jungle Wurm,[&BEEFAAA=]
17:15,17:30,Jungle Wurm,[&BEEFAAA=]
19:15,19:30,Jungle Wurm,[&BEEFAAA=]
21:15,21:30,Jungle Wurm,[&BEEFAAA=]
23:15,23:30,Jungle Wurm,[&BEEFAAA=]
01:15,01:30,Jungle Wurm,[&BEEFAAA=]
03:15,03:30,Jungle Wurm,[&BEEFAAA=]
05:15,05:30,Jungle Wurm,[&BEEFAAA=]
07:45,08:00,Shadow Behemoth,[&BPwAAAA=]
09:45,10:00,Shadow Behemoth,[&BPwAAAA=]
11:45,12:00,Shadow Behemoth,[&BPwAAAA=]
13:45,14:00,Shadow Behemoth,[&BPwAAAA=]
15:45,16:00,Shadow Behemoth,[&BPwAAAA=]
17:45,18:00,Shadow Behemoth,[&BPwAAAA=]
19:45,20:00,Shadow Behemoth,[&BPwAAAA=]
21:45,22:00,Shadow Behemoth,[&BPwAAAA=]
23:45,00:00,Shadow Behemoth,[&BPwAAAA=]
01:45,02:00,Shadow Behemoth,[&BPwAAAA=]
03:45,04:00,Shadow Behemoth,[&BPwAAAA=]
05:45,06:00,Shadow Behemoth,[&BPwAAAA=]
08:15,08:30,Frozen Maw,[&BH4BAAA=]
10:15,10:30,Frozen Maw,[&BH4BAAA=]
12:15,12:30,Frozen Maw,[&BH4BAAA=]
14:15,14:30,Frozen Maw,[&BH4BAAA=]
16:15,16:30,Frozen Maw,[&BH4BAAA=]
18:15,18:30,Frozen Maw,[&BH4BAAA=]
20:15,20:30,Frozen Maw,[&BH4BAAA=]
22:15,22:30,Frozen Maw,[&BH4BAAA=]
00:15,00:30,Frozen Maw,[&BH4BAAA=]
02:15,02:30,Frozen Maw,[&BH4BAAA=]
04:15,04:30,Frozen Maw,[&BH4BAAA=]
06:15,06:30,Frozen Maw,[&BH4BAAA=]
08:45,09:00,Fire Elemental,[&BEYAAAA=]
10:45,11:00,Fire Elemental,[&BEYAAAA=]
12:45,13:00,Fire Elemental,[&BEYAAAA=]
14:45,15:00,Fire Elemental,[&BEYAAAA=]
16:45,17:00,Fire Elemental,[&BEYAAAA=]
18:45,19:00,Fire Elemental,[&BEYAAAA=]
20:45,21:00,Fire Elemental,[&BEYAAAA=]
22:45,23:00,Fire Elemental,[&BEYAAAA=]
00:45,01:00,Fire Elemental,[&BEYAAAA=]
02:45,03:00,Fire Elemental,[&BEYAAAA=]
04:45,05:00,Fire Elemental,[&BEYAAAA=]
06:45,07:00,Fire Elemental,[&BEYAAAA=]
00:30,00:45,Tangled Depths: Chak Gerent,[&BPUHAAA=]
02:30,02:45,Tangled Depths: Chak Gerent,[&BPUHAAA=]
04:30,04:45,Tangled Depths: Chak Gerent,[&BPUHAAA=]
06:30,06:45,Tangled Depths: Chak Gerent,[&BPUHAAA=]
08:30,08:45,Tangled Depths: Chak Gerent,[&BPUHAAA=]
10:30,10:45,Tangled Depths: Chak Gerent,[&BPUHAAA=]
12:30,12:45,Tangled Depths: Chak Gerent,[&BPUHAAA=]
14:30,14:45,Tangled Depths: Chak Gerent,[&BPUHAAA=]
16:30,16:45,Tangled Depths: Chak Gerent,[&BPUHAAA=]
18:30,18:45,Tangled Depths: Chak Gerent,[&BPUHAAA=]
20:30,20:45,Tangled Depths: Chak Gerent,[&BPUHAAA=]
22:30,22:45,Tangled Depths: Chak Gerent,[&BPUHAAA=]
00:45,01:15,Auric Basin: Octovine,[&BMYHAAA=]
02:45,03:15,Auric Basin: Octovine,[&BMYHAAA=]
04:45,05:15,Auric Basin: Octovine,[&BMYHAAA=]
06:45,07:15,Auric Basin: Octovine,[&BMYHAAA=]
08:45,09:15,Auric Basin: Octovine,[&BMYHAAA=]
10:45,11:15,Auric Basin: Octovine,[&BMYHAAA=]
12:45,13:15,Auric Basin: Octovine,[&BMYHAAA=]
14:45,15:15,Auric Basin: Octovine,[&BMYHAAA=]
16:45,17:15,Auric Basin: Octovine,[&BMYHAAA=]
18:45,19:15,Auric Basin: Octovine,[&BMYHAAA=]
20:45,21:15,Auric Basin: Octovine,[&BMYHAAA=]
22:45,23:15,Auric Basin: Octovine,[&BMYHAAA=]
01:30,02:00,Dragon's Stand,[&BBAIAAA=]
03:30,04:00,Dragon's Stand,[&BBAIAAA=]
05:30,06:00,Dragon's Stand,[&BBAIAAA=]
07:30,08:00,Dragon's Stand,[&BBAIAAA=]
09:30,10:00,Dragon's Stand,[&BBAIAAA=]
11:30,12:00,Dragon's Stand,[&BBAIAAA=]
13:30,14:00,Dragon's Stand,[&BBAIAAA=]
15:30,16:00,Dragon's Stand,[&BBAIAAA=]
17:30,18:00,Dragon's Stand,[&BBAIAAA=]
19:30,20:00,Dragon's Stand,[&BBAIAAA=]
21:30,22:00,Dragon's Stand,[&BBAIAAA=]
23:30,00:00,Dragon's Stand,[&BBAIAAA=]
01:45,02:00,Verdant Brink: Night,[&BAgIAAA=]
03:45,04:00,Verdant Brink: Night,[&BAgIAAA=]
05:45,06:00,Verdant Brink: Night,[&BAgIAAA=]
07:45,08:00,Verdant Brink: Night,[&BAgIAAA=]
09:45,10:00,Verdant Brink: Night,[&BAgIAAA=]
11:45,12:00,Verdant Brink: Night,[&BAgIAAA=]
13:45,14:00,Verdant Brink: Night,[&BAgIAAA=]
15:45,16:00,Verdant Brink: Night,[&BAgIAAA=]
17:45,18:00,Verdant Brink: Night,[&BAgIAAA=]
19:45,20:00,Verdant Brink: Night,[&BAgIAAA=]
21:45,22:00,Verdant Brink: Night,[&BAgIAAA=]
23:45,00:00,Verdant Brink: Night,[&BAgIAAA=]